Sale_Price,No of Bedrooms,No of Bathrooms,Flat Area (in Sqft),Lot Area (in Sqft),No of Floors,No of Times Visited,Overall Grade,Area of the House from Basement (in Sqft),Basement Area (in Sqft),Age of House (in Years),Latitude,Longitude,Living Area after Renovation (in Sqft),Lot Area after Renovation (in Sqft),Years Since Renovation,Condition_of_the_House_Excellent,Condition_of_the_House_Fair,Condition_of_the_House_Good,Condition_of_the_House_Okay,Ever_Renovated_Yes,Waterfront_View_Yes,Zipcode_Group_Zipcode_Group_1,Zipcode_Group_Zipcode_Group_2,Zipcode_Group_Zipcode_Group_3,Zipcode_Group_Zipcode_Group_4,Zipcode_Group_Zipcode_Group_5,Zipcode_Group_Zipcode_Group_6,Zipcode_Group_Zipcode_Group_7,Zipcode_Group_Zipcode_Group_8,Zipcode_Group_Zipcode_Group_9
951000,5,3.25,3250,14342,2,4,8,3250,0,50,47.588,-122.116,2960,11044,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
430000,4,3,1850,9976,2,0,8,1850,0,27,47.5059,-122.149,2270,8542,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
650000,3,2.25,2150,21235,1,3,8,1590,560,59,47.4336,-122.339,2570,18900,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
289000,3,1.75,1260,8400,1,0,7,1260,0,64,47.4366,-122.335,1290,8750,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
505000,3,1.75,2519,8690,2,0,8,2519,0,45,47.4428,-122.344,2500,9500,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
549000,3,1.75,1540,1044,3,0,8,1540,0,4,47.6765,-122.32,1580,3090,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
425000,3,2.25,1660,6000,1,0,7,1110,550,39,47.6113,-122.297,1440,4080,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
317625,3,2.75,2770,3809,1.5,0,7,1770,1000,93,47.5747,-122.304,1440,4000,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
975000,4,2.5,2720,11049,2,0,10,2720,0,29,47.5815,-122.192,2750,11049,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
287000,4,2.5,2240,4648,2,0,7,2240,0,13,47.3378,-122.257,2221,4557,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
204000,3,1,1000,12070,1,0,7,1000,0,50,47.3621,-122.11,1010,12635,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1129575,5,2.25,3200,20158,1,0,8,1600,1600,53,47.6303,-122.215,3390,20158,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1040000,5,3.25,4770,50094,1,0,10,3070,1700,45,47.6525,-122.16,3530,38917,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
325000,3,2,1260,5612,1,0,7,1260,0,46,47.7362,-122.179,1640,4745,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
571000,4,2,2750,7807,1.5,0,7,2250,500,102,47.7168,-122.287,1510,7807,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
360000,4,2.5,2380,5000,2,0,8,2380,0,13,47.3608,-122.036,2420,5000,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
349000,3,1.75,1790,50529,1,0,7,1090,700,53,47.3511,-122.073,1940,50529,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832500,4,4,3430,35102,2,0,10,2390,1040,32,47.5822,-121.987,3240,35020,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
380000,4,1.75,1760,7300,1,0,7,880,880,62,47.6034,-122.125,1680,7500,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
480000,3,1,1040,5060,1,0,7,1040,0,77,47.5636,-122.394,890,5060,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
410000,3,1,1410,5060,1,0,7,910,500,62,47.7073,-122.34,1130,5693,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
720000,4,2.5,3450,39683,2,0,10,3450,0,16,47.342,-122.025,3350,39750,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
390000,3,2.5,2350,5100,2,0,8,2350,0,15,47.3512,-122.008,2350,5363,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
360000,4,2.5,1900,5889,2,0,7,1900,0,26,47.349,-122.031,1870,6405,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
355000,2,1,2020,6720,1,0,7,1010,1010,70,47.5474,-122.291,1720,6720,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
356000,3,1.5,1680,8712,1,0,8,1680,0,54,47.4811,-122.149,1850,8797,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
315000,3,1,960,6634,1,0,6,960,0,66,47.7264,-122.31,1570,7203,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
940000,3,1.5,2140,3600,2,0,9,1900,240,93,47.6337,-122.365,2020,4800,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
305000,5,2.25,2660,8400,1.5,0,7,2660,0,57,47.2909,-122.189,1590,8165,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
461000,3,3.25,2770,6278,2,0,9,1980,790,12,47.5228,-122.199,1900,7349,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
215000,2,2.25,1610,2040,2,0,7,1610,0,39,47.518,-122.194,1950,2025,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
335000,2,1.75,1030,1066,2,0,7,765,265,12,47.5394,-122.387,1030,1106,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1100000,5,2.75,3520,6353,2,0,10,3520,0,17,47.6506,-122.391,2520,6250,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
153000,3,1,1200,10500,1,0,7,1200,0,56,47.322,-122.351,1350,10500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
430000,3,1.5,1580,5000,1,0,8,1290,290,79,47.687,-122.386,1570,4500,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
700000,3,1.5,1580,5000,1,0,8,1290,290,79,47.687,-122.386,1570,4500,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
905000,4,2.5,3300,10250,1,0,7,2390,910,72,47.5873,-122.249,1950,6045,26,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
247500,3,1.75,1960,15681,1,0,7,1960,0,51,47.3576,-122.277,1750,15616,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
199000,4,1.5,1160,6400,1,0,7,1160,0,43,47.3036,-122.378,1160,6400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
314000,3,1.75,1810,41800,1,0,7,1210,600,38,47.4109,-121.958,1650,135036,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
437500,3,2.5,2320,36847,2,2,9,2320,0,26,47.4838,-121.714,2550,35065,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
850830,3,2.5,2070,13241,1.5,0,9,1270,800,108,47.6415,-122.315,2200,4500,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
555000,3,2,1980,3478,1.5,0,7,1440,540,89,47.6775,-122.372,1610,3478,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
699950,3,2.25,2190,107593,2,0,8,2190,0,35,47.7731,-122.08,2570,47777,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1090000,3,2.5,2920,8113,2,0,8,2920,0,68,47.5814,-122.196,2370,8113,7,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
290000,3,1,1210,33919,1,0,7,1210,0,64,47.4375,-122.184,1640,14910,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
375000,3,2.5,2340,10005,1,0,8,1460,880,40,47.4431,-122.133,2250,8162,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
460000,3,1,1670,4005,1.5,0,7,1170,500,79,47.6878,-122.38,1240,4005,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
188500,2,1.75,1240,2493,1,0,8,1240,0,33,47.3813,-122.322,1270,4966,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
680000,4,2.5,3140,28037,2,0,10,3140,0,27,47.7304,-122.082,2990,35001,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
470000,5,1.75,2030,12342,2,0,7,2030,0,76,47.6417,-122.109,2500,9433,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
597750,4,2.5,2310,9624,2,0,8,2310,0,34,47.5386,-122.053,1940,9636,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
570000,3,1.75,1260,3328,1,0,6,700,560,113,47.6823,-122.349,1380,3536,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
272500,3,1.75,1540,12600,1,0,7,1160,380,38,47.3624,-122.031,1540,11656,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
329950,3,1.75,2080,5969,1,2,7,1080,1000,47,47.5474,-122.295,2090,5500,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
480000,4,2.5,3230,16171,2,3,9,2520,710,17,47.3183,-122.253,2640,8517,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
740500,3,3.5,4380,6350,2,0,8,2780,1600,118,47.6981,-122.368,1830,6350,18,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
518500,3,3.5,1590,1102,3,0,8,1590,0,8,47.6824,-122.347,1620,3166,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
205425,2,1,880,6780,1,0,6,880,0,73,47.5009,-122.248,1190,6780,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
171800,4,2,1570,9600,1,0,6,1570,0,68,47.4965,-122.303,1880,9000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
535000,4,1,1610,2982,1.5,0,7,1610,0,93,47.587,-122.294,1610,4040,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
660000,3,2.5,2400,6474,1,2,8,1560,840,54,47.7728,-122.386,2340,10856,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
391500,3,2,1450,9132,1,0,7,1450,0,31,47.7288,-122.226,1580,9104,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
395000,2,1,770,6000,1,0,6,770,0,65,47.6999,-122.364,1710,6000,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
445000,4,1.75,2100,4400,1.5,0,7,1720,380,94,47.5299,-122.266,1850,4400,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
770000,3,2.25,2910,10204,2,0,9,2910,0,28,47.6897,-122.098,2700,13992,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1129575,4,2.75,2750,17789,1.5,0,8,1980,770,104,47.6141,-122.212,3060,11275,24,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
445000,3,2.25,2100,8201,1,2,8,1620,480,51,47.5091,-122.244,2660,8712,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,4,2.25,2160,8811,1,0,8,1360,800,40,47.3129,-122.39,2090,8400,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
822500,5,3.5,2320,4960,2,0,7,1720,600,92,47.6763,-122.352,1700,4960,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
430000,4,2.5,2070,4310,2,0,7,2070,0,14,47.5319,-121.85,1970,3748,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
212000,3,1.75,1060,7875,1,0,7,1060,0,32,47.2761,-122.152,1420,7680,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
660500,4,2.25,2010,9603,1,0,8,1440,570,32,47.5343,-122.054,2060,9793,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
784000,3,3.5,3950,111078,1.5,0,9,2460,1490,29,47.697,-122.072,2480,88500,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
453246,3,2.5,2010,2287,2,0,8,1390,620,4,47.5517,-121.998,1690,1662,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
675000,4,3.5,2140,2278,3,0,9,2140,0,13,47.6734,-122.38,1540,2285,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
199000,3,1.75,1320,17390,1,0,7,1320,0,62,47.3257,-122.296,1550,19265,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
220000,4,1.75,2020,7840,1,0,7,1010,1010,50,47.3309,-122.299,1750,8140,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
452000,4,2.25,2590,10002,1,0,8,1340,1250,50,47.7689,-122.266,1550,10436,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
382500,2,1,1190,4440,1,0,6,1190,0,37,47.7135,-122.287,1060,5715,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
519950,3,2.25,1170,1249,3,0,8,1170,0,4,47.6722,-122.381,1350,1310,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
665000,2,1,1110,3200,1,0,7,1110,0,93,47.6338,-122.358,1170,3600,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
527700,5,2.5,2820,9375,1,0,8,1550,1270,50,47.5707,-122.128,2820,9375,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
205000,3,1,1610,8579,1,0,7,1010,600,56,47.4563,-122.171,1610,8579,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
420000,3,1,1060,8097,1,0,7,940,120,95,47.7144,-122.351,1560,7940,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
500000,4,2.25,2030,8517,1,0,8,1380,650,57,47.5495,-122.174,2230,8824,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
921500,4,2.5,3670,315374,2,0,9,3670,0,24,47.7421,-122.026,2840,87991,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
890000,4,1,2550,4000,2,0,8,2370,180,113,47.6354,-122.353,2200,4000,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
430000,2,2.5,2420,60984,2,0,7,2420,0,11,47.5262,-121.943,1940,193842,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
258000,5,2,2260,12500,1,0,8,1130,1130,58,47.3887,-122.286,1360,18000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
511000,3,1,1430,3455,1,0,7,980,450,71,47.6873,-122.336,1450,4599,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
532170,3,2,1360,3090,2,0,8,1360,0,28,47.6838,-122.353,1500,3090,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
560000,3,1,1110,5000,1.5,0,7,1110,0,71,47.655,-122.359,1420,5000,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
282950,3,1,1250,8200,1,0,7,1250,0,64,47.3255,-122.304,1680,8633,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1129575,4,3.25,5180,19850,2,3,10,3540,1640,12,47.562,-122.162,3160,9750,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
350000,1,1,700,5100,1,0,7,700,0,76,47.679,-122.3,1010,5100,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
215000,3,1,1180,7669,1,0,7,1180,0,51,47.4479,-122.176,1190,7669,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
650000,5,3.5,3960,25245,2,0,9,2500,1460,22,47.525,-122.172,2640,13675,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
320000,4,2.75,2640,7500,1,0,8,1620,1020,51,47.3135,-122.369,1980,7875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
247000,3,2,1270,7198,1.5,0,7,1270,0,102,47.2086,-121.996,1160,7198,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
320000,4,1.75,1760,11180,1,0,8,1760,0,50,47.4715,-122.118,1730,11180,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
255000,5,2.25,2060,8632,1,0,7,1030,1030,56,47.4877,-122.335,1010,11680,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
438000,3,1.75,1780,9660,1,0,7,1780,0,56,47.7171,-122.193,1200,9660,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
900000,3,2.5,3400,16603,2,0,10,3400,0,18,47.6012,-122.023,3400,12601,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
441000,3,2.75,1910,7280,1,0,7,1160,750,39,47.7319,-122.224,1710,8152,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
420000,3,2,2020,38332,1,0,7,1010,1010,43,47.4582,-122.023,2110,36590,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
370000,3,1.75,1580,7000,1,0,7,1180,400,42,47.7209,-122.168,1640,7500,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
269950,2,1.75,1340,7250,1,0,5,700,640,69,47.408,-122.327,1830,9750,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
807100,4,2.5,2680,4499,2,0,9,2680,0,19,47.565,-122.125,2920,4500,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
371500,3,2,1370,8336,1,0,7,1370,0,54,47.7458,-122.331,1770,7288,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
284000,3,1.75,1560,21000,1,0,7,1560,0,64,47.4776,-122.337,1070,7920,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
272000,3,1.75,2160,7140,1,0,7,1670,490,40,47.3026,-122.374,1930,7350,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
313000,3,1.5,1340,7912,1.5,0,7,1340,0,63,47.7658,-122.339,1480,7940,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
917500,4,2.5,3880,35003,2,0,10,2570,1310,34,47.6477,-122.182,3740,35230,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
673000,4,2.25,2590,8190,2,0,8,2590,0,38,47.5619,-122.125,2260,8335,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
425000,3,2.5,1120,1100,2,0,8,820,300,10,47.6106,-122.31,1590,1795,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
